confidence,raw_uncertainty,normalized_uncertainty,trust_score,decision
0.99949723,0.004984211,0.06431885,0.93521076,Accept
0.9993083,0.0065856436,0.0861079,0.9132599,Accept
0.9995186,0.004811316,0.061966438,0.937582,Accept
0.9994771,0.0051147197,0.06609455,0.93341714,Accept
0.99960726,0.004000979,0.050941017,0.9486863,Accept
0.9992062,0.0074135987,0.09737304,0.9019105,Accept
0.9986459,0.011881297,0.15816045,0.8406996,Human Review
0.9975919,0.02006957,0.2695699,0.7286712,Human Review
0.999383,0.0059236744,0.07710116,0.92232937,Accept
0.99869984,0.011658385,0.15512751,0.843774,Human Review
0.99956435,0.0043619424,0.055852275,0.9437364,Accept
0.99960214,0.004027354,0.051299874,0.94832265,Accept
0.99663746,0.026621122,0.35871017,0.63913345,Human Review
0.9994406,0.005402183,0.07000577,0.929474,Accept
0.99971485,0.0029763659,0.037000153,0.9627252,Accept
0.99948066,0.005076026,0.06556808,0.9339466,Accept
0.9996109,0.003974152,0.050576005,0.94905454,Accept
0.9996476,0.0036610798,0.046316355,0.95334756,Accept
0.9995491,0.0045539085,0.058464162,0.94111127,Accept
0.99928,0.0068801846,0.09011542,0.90922946,Accept
0.9995079,0.004847243,0.062455263,0.9370834,Accept
0.9996953,0.0031703953,0.03964011,0.9600673,Accept
0.9992854,0.0067696217,0.0886111,0.9107376,Accept
0.99905294,0.008709867,0.11501002,0.8841518,Human Review
0.9995491,0.004522444,0.05803606,0.94153917,Accept
0.99935675,0.0061921407,0.080753915,0.91865474,Accept
0.9997597,0.002558067,0.031308785,0.9684584,Accept
0.9994036,0.0058324393,0.07585982,0.923589,Accept
0.997499,0.020855036,0.28025693,0.717943,Human Review
0.99914944,0.007841358,0.10319313,0.89604414,Human Review
0.9995206,0.004723166,0.060767077,0.9387827,Accept
0.9992947,0.0067759473,0.08869717,0.9106601,Accept
0.9990098,0.009090244,0.12018543,0.8789434,Human Review
0.999504,0.004920507,0.06345209,0.93608344,Accept
0.9992226,0.0073067592,0.095919386,0.9033778,Accept
0.9985226,0.012994552,0.17330736,0.8254713,Human Review
0.9989118,0.0100536905,0.13329406,0.8657628,Human Review
0.9993722,0.0059864447,0.077955216,0.9214659,Accept
0.9996378,0.0036966335,0.046800096,0.95285463,Accept
0.9993424,0.006318761,0.082476705,0.9169199,Accept
0.99956703,0.0043016565,0.055032026,0.94455886,Accept
0.99822295,0.015309388,0.20480296,0.7937839,Human Review
0.99894255,0.009506018,0.12584244,0.8732332,Human Review
0.9997911,0.0022569315,0.027211545,0.9725852,Accept
0.9996461,0.0035706826,0.045086414,0.9545757,Accept
0.9998024,0.0021508161,0.02576774,0.97403973,Accept
0.99863434,0.012340443,0.16440757,0.8344513,Human Review
