true_label,prediction,confidence,uncertainty,normalized_uncertainty,trust_score,decision
0,0,0.9995951,0.004123519,0.052608293,0.9470081,Accept
0,0,0.9997882,0.0022921138,0.027690234,0.97210383,Accept
0,0,0.9997446,0.0027271393,0.03360918,0.966144,Accept
0,0,0.9997283,0.0028778764,0.035660107,0.96407795,Accept
0,0,0.99967223,0.0033876526,0.04259611,0.9570901,Accept
0,0,0.999757,0.002599033,0.03186617,0.96789855,Accept
0,0,0.9997551,0.0026081416,0.0319901,0.9677728,Accept
0,0,0.99978155,0.0023581986,0.028589383,0.97119844,Accept
0,0,0.99980795,0.0020993701,0.025067765,0.97474504,Accept
0,0,0.9997827,0.002353351,0.028523427,0.97126544,Accept
0,0,0.9997824,0.0023466605,0.028432395,0.9713562,Accept
0,0,0.999626,0.0038437203,0.048801355,0.95084286,Accept
0,0,0.9997964,0.0022159237,0.026653593,0.9731482,Accept
0,0,0.9997067,0.0030934638,0.038593385,0.9611246,Accept
0,0,0.99979144,0.0022563576,0.027203735,0.97259337,Accept
0,0,0.999663,0.0034826994,0.043889314,0.9557885,Accept
0,0,0.99976903,0.0024830839,0.030288568,0.9694874,Accept
0,0,0.99956626,0.0043766345,0.056052174,0.9435384,Accept
0,0,0.99966115,0.0035120598,0.04428879,0.95538735,Accept
0,0,0.9998029,0.0021437989,0.025672263,0.9741357,Accept
0,0,0.9997941,0.0022325558,0.026879888,0.97291976,Accept
0,0,0.9998686,0.0014880439,0.016750075,0.9831207,Accept
0,0,0.99971765,0.0029876798,0.03715409,0.96257406,Accept
0,0,0.9997228,0.0029267762,0.036325436,0.9634074,Accept
0,0,0.9996812,0.0033112406,0.041556448,0.9581379,Accept
0,0,0.9996788,0.003350669,0.042092912,0.9575994,Accept
0,0,0.9997522,0.0026599981,0.03269566,0.9670647,Accept
0,0,0.99972373,0.0029249259,0.03630026,0.9634335,Accept
0,0,0.99975586,0.002603085,0.0319213,0.96784234,Accept
0,0,0.9996802,0.003315311,0.04161183,0.95808166,Accept
0,0,0.9997101,0.0030513396,0.038020242,0.96170086,Accept
0,0,0.99954987,0.004507878,0.05783787,0.94173807,Accept
0,0,0.9997201,0.0029466697,0.03659611,0.9631342,Accept
0,0,0.99976045,0.002569051,0.031458236,0.9683097,Accept
0,0,0.99973935,0.002753963,0.033974145,0.96577406,Accept
0,0,0.9997212,0.002922648,0.03626927,0.9634621,Accept
0,0,0.99975187,0.002658654,0.03267737,0.9670826,Accept
0,0,0.9997658,0.0025120955,0.0306833,0.96908975,Accept
0,0,0.99968207,0.0033183538,0.04165323,0.9580421,Accept
0,0,0.9997673,0.0025068778,0.030612307,0.96916217,Accept
0,0,0.9995844,0.0041825017,0.05341081,0.9461957,Accept
0,0,0.9996449,0.0036402969,0.046033584,0.95362765,Accept
0,0,0.9998364,0.0018187381,0.021249492,0.97859037,Accept
0,0,0.9996683,0.0034474456,0.043409653,0.9562731,Accept
0,0,0.9998104,0.0020642334,0.024589697,0.9752253,Accept
0,0,0.99975425,0.002620569,0.032159187,0.96760297,Accept
0,0,0.9998242,0.0019400029,0.02289942,0.9769289,Accept
0,0,0.99959564,0.004092396,0.052184828,0.9474319,Accept
0,0,0.99975055,0.0026541646,0.032616287,0.9671424,Accept
0,0,0.99978364,0.0023365598,0.028294966,0.9714948,Accept
0,0,0.99974346,0.0027361726,0.033732086,0.96602005,Accept
0,0,0.9997382,0.002773738,0.0342432,0.96550393,Accept
0,0,0.9997999,0.0021665257,0.025981484,0.9738236,Accept
0,0,0.99973816,0.0027751778,0.03426279,0.9654844,Accept
0,0,0.9997744,0.0024133185,0.029339341,0.9704417,Accept
0,0,0.99950105,0.004911876,0.06333466,0.936198,Accept
0,0,0.9997892,0.002267905,0.02736085,0.9724341,Accept
0,0,0.9997557,0.002610608,0.032023657,0.9677398,Accept
0,0,0.99981767,0.0019890636,0.023566937,0.976255,Accept
0,0,0.99972594,0.0028760782,0.03563564,0.96410006,Accept
1,1,0.99749964,0.021073066,0.28322345,0.71498436,Human Review
1,1,0.9997177,0.003031307,0.037747677,0.9619807,Accept
1,1,0.9996234,0.0039266213,0.049929306,0.9497129,Accept
1,1,0.9996776,0.003414303,0.042958714,0.9567327,Accept
1,1,0.99916804,0.008044008,0.10595038,0.89330584,Human Review
1,1,0.9998252,0.0019591984,0.023160592,0.97666866,Accept
1,1,0.9997515,0.002698443,0.033218738,0.966541,Accept
1,1,0.9997198,0.0029896805,0.03718131,0.9625489,Accept
1,1,0.999231,0.0074735302,0.09818847,0.90111804,Accept
1,1,0.9995306,0.0047948174,0.061741963,0.93781763,Accept
1,1,0.9993575,0.0062964275,0.08217283,0.9172375,Accept
1,1,0.99942094,0.0057469197,0.07469624,0.924768,Accept
1,1,0.99908876,0.008681592,0.11462532,0.88456786,Human Review
1,1,0.9989633,0.009671511,0.12809414,0.87100196,Human Review
1,1,0.9996471,0.003710123,0.046983633,0.95268,Accept
1,1,0.99962217,0.003946687,0.05020232,0.9494388,Accept
1,1,0.99908966,0.008715507,0.115086764,0.88410765,Human Review
1,1,0.99984646,0.0017412449,0.020195123,0.97965443,Accept
1,1,0.99917716,0.007914251,0.1041849,0.89507794,Human Review
1,1,0.9998355,0.0018470484,0.021634683,0.97820437,Accept
1,1,0.9997136,0.003045679,0.037943225,0.9617812,Accept
1,1,0.9998765,0.001430935,0.015973052,0.98390543,Accept
1,1,0.99984515,0.0017592579,0.020440206,0.9794081,Accept
1,1,0.99988574,0.0013299456,0.014598994,0.98528844,Accept
1,1,0.9997797,0.002422539,0.029464796,0.9703214,Accept
1,1,0.9998665,0.0015356932,0.01739839,0.9824704,Accept
1,1,0.9998003,0.0022164988,0.026661418,0.97314423,Accept
1,1,0.99950325,0.00506543,0.06542391,0.93411183,Accept
1,1,0.9998393,0.001814539,0.021192359,0.97865033,Accept
1,1,0.9996352,0.003828754,0.048597723,0.9510552,Accept
1,1,0.99976104,0.0026063873,0.03196623,0.96780246,Accept
1,1,0.99982435,0.0019612964,0.023189139,0.9766393,Accept
1,1,0.9992018,0.0076909754,0.101147026,0.8981355,Human Review
1,1,0.99983674,0.0018430643,0.021580474,0.9782598,Accept
1,1,0.9992181,0.007518066,0.09879442,0.90050095,Accept
1,1,0.99976176,0.0026046317,0.031942345,0.967827,Accept
1,1,0.9992084,0.007685264,0.101069316,0.89821905,Human Review
1,1,0.99978715,0.0023470316,0.028437445,0.9713558,Accept
1,1,0.9995373,0.0047292504,0.06084986,0.9387156,Accept
1,1,0.99945766,0.0054788664,0.07104912,0.92844707,Accept
1,1,0.9987883,0.011250958,0.14958405,0.8493855,Human Review
1,1,0.9996662,0.003523673,0.0444468,0.9552342,Accept
1,1,0.99391574,0.04449351,0.60188144,0.3956963,Reject
1,1,0.9995021,0.005059964,0.06534954,0.93418515,Accept
1,1,0.9997612,0.0026067889,0.031971697,0.96779716,Accept
1,1,0.9990959,0.008658891,0.11431645,0.8848828,Human Review
1,1,0.9997665,0.0025500997,0.031200385,0.9685734,Accept
1,1,0.99917597,0.0079848245,0.10514513,0.89411753,Human Review
1,1,0.9993698,0.0062658703,0.081757076,0.91766423,Accept
1,1,0.99971,0.0031063412,0.038768593,0.9609527,Accept
1,1,0.9999062,0.0011133055,0.011651392,0.98825586,Accept
1,1,0.99986476,0.0015518623,0.017618388,0.9822487,Accept
1,1,0.9997991,0.0022313776,0.026863858,0.9729406,Accept
1,1,0.9989452,0.009944393,0.13180697,0.86727726,Human Review
1,1,0.999825,0.0019652764,0.02324329,0.97658575,Accept
1,1,0.99937105,0.006256209,0.081625625,0.91779673,Accept
1,1,0.9991943,0.0078060413,0.10271261,0.8965644,Human Review
1,1,0.99859947,0.012811634,0.17081858,0.82802016,Human Review
1,1,0.9992544,0.007283548,0.09560357,0.9037221,Accept
1,1,0.99954015,0.004708959,0.06057377,0.9389942,Accept
2,2,0.9998828,0.0013206004,0.014471843,0.98541266,Accept
2,2,0.9999633,0.00045781358,0.0027327854,0.9972306,Accept
2,2,0.99996513,0.000431623,0.0023764367,0.99758875,Accept
2,2,0.9999159,0.0009955892,0.010049747,0.989867,Accept
2,2,0.99997437,0.0003266862,0.0009486689,0.9990257,Accept
2,2,0.99998057,0.00025696176,0.0,0.99998057,Accept
2,2,0.9999612,0.0004756196,0.0029750536,0.99698627,Accept
2,2,0.99994946,0.0006036177,0.004716593,0.9952331,Accept
2,2,0.9998949,0.0011926035,0.01273032,0.9871659,Accept
2,2,0.999965,0.00044274738,0.0025277948,0.9974373,Accept
2,2,0.9996051,0.0040276246,0.051303554,0.9483218,Accept
2,2,0.99966776,0.0033463878,0.04203466,0.957647,Accept
2,2,0.9999486,0.00062954833,0.0050694044,0.9948795,Accept
2,2,0.9999475,0.0006353133,0.005147842,0.9948,Accept
2,2,0.9999483,0.000635234,0.0051467633,0.9948018,Accept
2,2,0.99985486,0.001609552,0.01840331,0.98145425,Accept
2,2,0.99996054,0.0004914622,0.0031906073,0.99677,Accept
